"id","woman","birth_year","migration_background","urban","parental_edu","ability","university","income","owns_home","n_children","oracle_y0","oracle_y1"
35,1,1972,0,1,13.4,-0.31,0,30.2,0,0,2.027,1.407
36,0,1960,0,1,14.8,-1.16,0,31.4,1,3,2.469,2.099
37,0,1965,0,1,8.6,-0.74,0,12.3,0,4,2.65,2.28
38,0,1961,0,0,11.6,0.72,1,35.4,1,1,2.466,2.096
39,1,1975,0,0,14.8,-1.48,0,32.6,0,2,2.108,1.488
40,0,1980,1,0,11.4,0.47,1,44.8,0,1,2.121,1.751
41,0,1968,0,0,11.6,-0.19,0,42.1,1,3,2.366,1.996
42,1,1971,0,0,13.2,1.17,1,52.8,0,0,1.953,1.333
43,0,1977,0,1,8.3,-1.09,0,22.6,1,3,2.314,1.944
44,0,1974,1,0,6.6,0.06,0,27.4,1,3,2.707,2.337
45,0,1979,0,0,12.2,-1.22,0,24.4,0,2,2.106,1.736
46,0,1977,0,0,8.6,-1.06,0,17,0,2,2.389,2.019
47,1,1962,0,0,11.5,-1.4,0,14.1,1,1,2.757,2.137
48,0,1956,0,1,15.2,0.25,1,43,1,0,2.368,1.998
49,1,1982,0,1,15.2,0.53,1,43.9,1,2,1.442,0.822
50,0,1976,0,0,14.1,1.21,1,42.1,1,1,1.717,1.347
51,1,1974,0,1,16,0.76,1,49.2,0,0,1.627,1.007
52,1,1970,0,1,11,1.18,0,34.5,1,4,2.031,1.411
53,1,1974,0,1,11.4,-0.54,0,33.1,0,2,2.128,1.508
54,1,1956,0,1,11,-0.66,0,28.6,1,2,2.783,2.163
55,1,1962,0,0,13.5,0.48,0,41.5,0,3,2.343,1.723
56,1,1967,0,0,15.8,0.75,1,42.5,0,1,1.978,1.358
57,1,1983,0,0,12.2,0.56,1,48.1,0,0,1.703,1.083
58,0,1984,0,0,22.4,0.8,1,54.1,1,1,0.954,0.584
59,1,1970,0,1,18.1,2.15,1,62.6,1,0,1.413,0.793
60,0,1978,0,1,11.2,1.04,1,44.3,1,2,1.767,1.397
61,0,1963,0,1,10.6,1.49,1,39.8,1,2,2.25,1.88
62,1,1984,0,1,13,1.97,1,52.4,1,0,1.304,0.684
63,1,1961,0,0,10.5,-0.96,0,18,0,0,2.792,2.172
64,0,1972,0,1,9.8,-0.64,0,22,1,3,2.317,1.947
65,0,1973,1,1,16.4,-0.49,1,44.7,0,2,2.072,1.702
66,0,1971,0,0,13,-1.35,0,29.5,0,3,2.344,1.974
67,1,1975,1,1,13.6,1.18,0,28.5,0,3,1.939,1.319
68,0,1955,0,0,7.7,0.67,1,37.7,1,4,2.938,2.568
69,1,1965,0,0,8.1,-0.97,0,18,0,2,2.817,2.197
70,1,1979,1,0,13.4,0.52,1,44.4,1,0,2.015,1.395
71,1,1981,0,1,14.9,0.81,1,48.7,1,1,1.454,0.834
72,0,1969,0,0,15,-1.05,0,30,1,3,2.234,1.864
73,1,1957,0,1,10.5,-0.37,0,21.6,1,4,2.739,2.119
74,1,1980,0,1,12.5,0.22,0,35.8,0,2,1.736,1.116
75,0,1971,0,1,8.7,-0.21,0,33.9,0,2,2.359,1.989
76,1,1979,1,0,9.3,-0.13,0,28,0,3,2.385,1.765
77,1,1970,0,0,9,-0.51,0,19.8,1,2,2.519,1.899
78,1,1961,0,0,11.3,0.45,0,21.6,0,1,2.527,1.907
79,0,1983,0,1,15.7,0.38,0,37.2,1,3,1.397,1.027
80,1,1969,0,0,15.7,0.01,1,39.2,1,1,2.028,1.408
81,0,1971,0,1,13.2,-0.03,0,31.8,0,1,2.032,1.662
82,1,1960,0,1,15.1,-2.71,0,10.2,1,3,2.683,2.063
83,1,1979,1,0,12.9,1.46,1,50.4,1,1,1.907,1.287
84,1,1962,1,0,5.7,-1.02,0,23,1,4,3.336,2.716
85,0,1965,0,0,15.5,0.13,1,34.6,0,4,2.16,1.79
86,1,1983,0,1,12.1,-0.08,1,46.8,1,0,1.706,1.086
87,1,1973,1,0,10.9,0.57,0,24.8,0,1,2.377,1.757
88,1,1984,0,1,8.8,-2.33,0,13.1,0,4,2.229,1.609
89,0,1983,0,0,14.8,0.33,1,39.2,1,1,1.565,1.195
90,0,1978,0,0,15.4,-0.75,0,41.9,1,6,1.856,1.486
91,1,1985,1,0,13.1,0.22,0,38.5,1,3,1.877,1.257
92,1,1960,0,1,11.7,-1.36,0,12.9,0,4,2.706,2.086
93,1,1977,0,1,18.9,0.66,1,59.8,0,3,1.347,0.727
94,0,1960,1,1,5.4,-1.63,0,10.1,1,3,3.417,3.047
95,0,1962,0,1,4.8,-0.61,0,10.1,0,1,2.984,2.614
96,0,1975,0,1,12.4,-0.57,0,17.1,0,5,2.031,1.661
97,1,1967,0,1,11.1,-0.47,0,20.6,0,2,2.375,1.755
98,0,1956,0,1,10.5,-1.36,0,13.3,0,3,2.922,2.552
99,1,1959,0,1,11.5,-0.35,0,33,0,1,2.601,1.981
100,0,1968,0,0,13.5,0.95,1,40.2,1,2,2.068,1.698
101,0,1977,0,0,9,-1.04,0,9.2,1,5,2.36,1.99
102,1,1979,0,1,16.6,0.29,1,44.7,1,2,1.487,0.867
103,0,1980,0,1,14.7,-0.33,1,44.6,1,1,1.673,1.303
104,0,1985,0,0,9.9,0.75,0,35.5,0,3,1.76,1.39
105,0,1968,0,0,7.9,-0.37,0,15.8,1,4,2.638,2.268
106,0,1979,1,1,12.4,-0.82,1,32.2,0,1,2.183,1.813
107,1,1971,1,0,10.1,-0.27,0,35.4,1,2,2.625,2.005
108,1,1974,0,0,10.2,-1.32,0,7.4,0,3,2.424,1.804
109,0,1979,0,1,8.9,0.24,0,18.6,0,1,2.006,1.636
110,1,1963,0,0,13.3,1.55,1,42.5,0,2,2.162,1.542
111,0,1967,0,0,10.3,-1.2,1,30.7,1,3,2.638,2.268
112,1,1978,0,0,12.1,-0.66,1,33,1,0,2.063,1.443
113,0,1962,1,0,7.9,-1.84,0,7,0,4,3.313,2.943
114,0,1984,0,0,14.5,-0.15,0,30.7,0,0,1.622,1.252
115,0,1965,0,0,10.5,0.33,0,31.3,1,6,2.463,2.093
116,0,1970,0,1,10.6,-0.74,0,23.2,0,1,2.346,1.976
117,1,1985,0,0,10.9,-1.88,0,11.6,0,2,2.087,1.467
118,0,1957,0,1,10.4,-0.99,0,11.8,0,3,2.84,2.47
119,0,1973,0,1,7.4,-2.47,0,6.2,0,2,2.717,2.347
120,1,1983,0,0,13.7,0.29,1,44.6,1,0,1.643,1.023
121,0,1956,0,0,15.1,-0.58,0,21.9,0,3,2.599,2.229
122,0,1972,1,1,8.6,-2.15,0,26.1,1,3,2.873,2.503
123,1,1978,0,1,12.6,0.65,1,42,1,0,1.732,1.112
124,1,1970,0,0,13.5,-0.37,0,27.9,0,1,2.197,1.577
125,0,1977,0,0,9.5,-0.14,0,28,0,2,2.192,1.822
126,0,1967,0,1,10.2,0.07,0,23.8,1,2,2.353,1.983
127,0,1958,1,1,15.7,1.22,0,33.6,0,1,2.371,2.001
128,0,1963,0,0,10.2,0.53,0,29.3,1,0,2.52,2.15
129,0,1972,1,1,13.7,-0.24,1,34.5,1,4,2.247,1.877
130,0,1965,0,0,12.4,-1.96,0,13,1,2,2.679,2.309
131,0,1965,0,1,9.7,-1.02,0,8.2,1,5,2.618,2.248
132,1,1974,0,1,13.3,-0.72,0,21.3,1,4,2.027,1.407
133,0,1959,0,1,14.2,-0.84,0,23.4,0,2,2.496,2.126
134,0,1973,0,1,14,-0.35,0,25.6,0,0,1.96,1.59
135,1,1958,0,1,9,-0.47,0,13.1,1,0,2.82,2.2
136,0,1984,0,0,11.9,-0.31,1,40.3,0,2,1.819,1.449
137,0,1980,0,1,9.6,-1.66,0,22.1,1,3,2.211,1.841
138,1,1963,1,0,11.1,0.15,0,18,0,3,2.768,2.148
139,1,1969,0,1,9.9,-0.48,0,30.7,1,2,2.387,1.767
140,0,1964,0,1,13,0.94,1,47.3,1,2,2.139,1.769
141,1,1978,0,1,10.3,-1.07,0,25.8,1,3,2.144,1.524
142,0,1969,0,0,12.2,-0.02,0,19.3,1,3,2.265,1.895
143,1,1982,0,1,12.2,-0.18,1,36.1,0,0,1.748,1.128
144,1,1956,0,0,8.8,-1.15,0,15.6,0,2,3.104,2.484
145,1,1984,0,1,10.5,-1.5,0,5.4,1,3,1.992,1.372
146,0,1961,1,0,14.6,0.57,1,51.2,1,4,2.539,2.169
147,0,1960,0,1,12.6,-0.04,1,37.5,1,1,2.448,2.078
148,1,1962,0,1,8.1,-0.17,0,15.3,1,2,2.699,2.079
149,1,1969,0,1,11.1,0.02,0,28.6,1,1,2.233,1.613
150,0,1970,0,0,9.3,-0.73,0,27.9,0,0,2.532,2.162
151,0,1984,0,1,9.7,1.93,1,39.4,1,4,1.529,1.159
152,0,1957,0,0,8,-0.41,0,19.7,1,4,3.012,2.642
153,1,1959,0,1,15.3,0.79,1,41.9,1,1,2.179,1.559
154,1,1960,0,1,12.6,-0.2,0,26,1,2,2.472,1.852
155,1,1981,0,0,9.2,-0.03,0,30.9,1,0,2.059,1.439
156,1,1977,0,1,14.9,0.37,0,36.5,0,2,1.655,1.035
157,0,1958,0,1,10.1,-1.54,0,12.9,0,3,2.908,2.538
158,1,1956,0,0,15.7,0.47,1,52,1,2,2.401,1.781
159,1,1959,0,0,12.4,0.31,1,42,0,1,2.543,1.923
160,0,1960,0,1,14.4,0.13,1,54.8,1,1,2.304,1.934
161,0,1979,0,1,13.2,0.56,1,53.2,1,2,1.672,1.302
162,1,1959,0,0,10.4,-1.28,0,9.2,0,1,2.915,2.295
163,1,1971,0,1,11.3,0.02,0,28.7,0,2,2.152,1.532
164,0,1976,0,1,15.5,0.4,1,45.6,1,3,1.646,1.276
165,0,1962,0,1,7.1,-1.96,0,15.5,0,2,3.035,2.665
166,0,1985,0,0,10.1,-0.5,0,30.2,1,3,1.934,1.564
167,0,1957,0,1,8.6,0.83,1,39.2,1,2,2.686,2.316
168,0,1961,0,0,10.5,0.44,1,39.4,1,2,2.582,2.212
169,0,1980,0,1,15.4,0.42,1,51.6,1,0,1.513,1.143
170,0,1963,0,0,15.3,0.95,1,39.8,1,3,2.118,1.748
171,1,1967,0,0,10.6,-0.78,0,19.3,1,4,2.555,1.935
172,1,1977,0,1,13.2,-0.63,1,43.1,1,1,1.92,1.3
173,0,1975,1,1,10.5,-1.5,0,27.7,0,3,2.547,2.177
174,1,1983,1,1,15.6,-0.1,0,42.1,0,2,1.725,1.105
175,0,1967,1,0,13.9,-0.54,0,29.3,1,2,2.549,2.179
176,1,1982,0,0,17,1.05,1,55,1,0,1.345,0.725
177,1,1961,0,0,7.8,-0.2,0,22.7,0,2,2.858,2.238
178,1,1958,0,1,7.4,0.14,1,34,0,2,2.835,2.215
179,1,1969,0,0,12,-0.47,0,30.5,0,2,2.347,1.727
180,1,1967,1,0,11.3,2.41,1,51.8,1,2,2.279,1.659
181,0,1962,0,1,13,0.72,0,36.3,0,3,2.24,1.87
182,0,1964,0,0,12,-0.21,0,38,0,3,2.477,2.107
183,1,1968,0,0,9.7,-0.88,0,18.4,1,4,2.595,1.975
184,1,1980,0,1,15.5,0.56,1,55.2,0,0,1.486,0.866
185,0,1979,0,1,10.2,0.41,0,36,0,2,1.894,1.524
186,0,1960,0,1,12.1,-1.19,0,33,1,3,2.654,2.284
187,1,1982,0,0,13.7,1.78,1,39.8,1,0,1.454,0.834
188,0,1956,1,1,9.2,0.48,0,36.1,1,3,2.983,2.613
189,0,1963,0,1,10.7,-0.77,0,22,1,6,2.582,2.212
190,0,1979,0,1,14.3,-0.38,1,45.5,1,0,1.739,1.369
191,0,1956,0,1,14,0.87,1,38.4,0,1,2.355,1.985
192,0,1955,0,1,13.2,0.65,0,22.9,0,0,2.474,2.104
193,0,1971,0,0,7.4,-0.22,0,16.6,1,3,2.547,2.177
194,1,1956,0,1,13.6,-0.89,1,38.3,1,6,2.645,2.025
195,0,1973,0,0,13.3,0.07,1,39.5,0,1,2.044,1.674
196,0,1983,0,1,5.2,-0.84,0,32,1,0,2.279,1.909
197,0,1981,0,0,12.4,0.8,1,46.2,1,3,1.722,1.352
198,1,1978,0,0,13.9,0.23,1,47.2,1,1,1.81,1.19
199,1,1967,0,0,14.5,0.96,0,34.7,0,1,2.033,1.413
200,0,1972,0,1,12.3,0.3,0,34.2,0,1,2.009,1.639
201,1,1969,0,1,12.3,0.03,1,48.4,0,1,2.152,1.532
202,1,1956,0,1,13.5,0.03,1,41.4,1,0,2.514,1.894
203,0,1963,1,1,9.5,1.72,0,31,1,0,2.538,2.168
204,1,1985,0,1,10.5,0.81,1,42.2,1,0,1.61,0.99
205,0,1984,0,1,15.2,-0.52,0,27.8,1,2,1.531,1.161
206,1,1956,0,0,12.4,-1.01,0,18.8,1,5,2.844,2.224
207,0,1968,0,0,11.2,-1.76,0,31.2,0,2,2.627,2.257
208,1,1980,0,1,6.9,-0.92,0,15.2,0,0,2.28,1.66
209,1,1963,0,1,11.9,-1.16,0,26.6,1,1,2.561,1.941
210,1,1965,0,0,16.2,0.85,0,40.7,1,3,2.006,1.386
211,1,1981,0,0,12.4,-0.72,0,24.5,1,2,1.95,1.33
212,0,1979,0,0,11.9,-0.82,1,22.9,1,2,2.066,1.696
213,0,1968,0,1,13.1,-1.32,1,43,0,0,2.334,1.964
214,0,1971,0,1,11.3,0.55,0,30,0,1,2.072,1.702
215,1,1966,0,0,12.3,-0.85,0,21.5,1,3,2.486,1.866
216,1,1974,0,1,13,1.13,1,45,0,1,1.771,1.151
217,0,1962,0,0,9.1,-0.02,0,26,1,1,2.71,2.34
218,0,1979,1,1,12.1,0.92,1,45.9,0,2,1.941,1.571
219,0,1964,1,0,12.8,0.85,1,42.4,1,2,2.515,2.145
220,0,1968,0,1,13.7,-0.16,1,42.7,1,2,2.122,1.752
221,0,1955,0,1,14.9,0.1,0,29.9,1,3,2.444,2.074
222,1,1971,0,1,15.4,0.7,1,39.3,0,3,1.777,1.157
223,0,1985,0,1,12.2,0.46,0,31.1,0,3,1.55,1.18
224,1,1985,0,1,9.6,0.29,1,45.1,1,2,1.748,1.128
225,0,1965,0,0,12.4,0.81,0,21.6,0,0,2.264,1.894
226,1,1973,0,0,15.1,0.17,1,52.9,0,2,1.908,1.288
227,1,1961,0,1,14.4,0.54,1,57.5,1,4,2.207,1.587
228,0,1980,0,1,9.5,0.54,0,33,0,0,1.888,1.518
229,0,1969,0,1,13.3,0.8,1,44.4,1,1,1.969,1.599
230,0,1959,1,0,7.4,-0.84,0,26.6,1,2,3.299,2.929
231,0,1984,0,1,12.5,-0.36,1,42.3,1,0,1.687,1.317
232,0,1967,0,1,15.6,0.64,0,23.7,0,4,1.908,1.538
233,0,1983,0,1,13.1,1.8,1,51.5,1,1,1.356,0.986
234,0,1979,1,0,14.1,-0.33,0,23,1,3,2.096,1.726
235,1,1982,0,1,14.9,-0.77,0,18.8,0,0,1.657,1.037
236,1,1968,1,0,18.6,1.11,1,51.2,0,1,1.954,1.334
237,1,1982,0,1,10.5,-1.75,0,12.5,0,0,2.096,1.476
238,0,1963,1,1,9.5,-0.58,0,29.4,1,2,2.883,2.513
239,0,1974,0,1,9.4,0.34,1,17,0,0,2.128,1.758
240,1,1955,0,1,14.3,0.7,1,49.2,0,2,2.395,1.775
241,1,1959,1,0,11.7,-0.47,1,32.5,0,4,2.957,2.337
242,1,1983,0,1,10.8,0.76,1,56.9,0,1,1.667,1.047
243,1,1979,0,1,13.3,1.61,1,60.5,1,0,1.508,0.888
244,1,1961,0,0,12.4,0.68,0,30.7,1,4,2.419,1.799
245,1,1962,0,0,12.6,-0.49,0,19.2,0,1,2.548,1.928
246,1,1968,0,0,11.6,1.24,0,27.9,0,0,2.151,1.531
247,1,1974,0,0,8.9,-1.75,0,7.3,1,0,2.574,1.954
248,0,1959,1,1,9.9,-0.45,0,13.6,1,4,2.973,2.603
249,0,1975,1,1,8.9,0.92,0,27.9,0,0,2.29,1.92
250,0,1979,1,0,12.9,-0.27,1,44.2,1,4,2.167,1.797
251,1,1962,0,0,8,0.32,1,37.1,1,2,2.732,2.112
252,0,1957,1,0,12,2.66,1,33.3,1,2,2.535,2.165
253,0,1979,0,1,17.2,-0.31,1,37.6,0,2,1.537,1.167
254,1,1967,0,1,7.7,-1.19,0,26.8,1,6,2.709,2.089
255,0,1957,0,1,7.6,-0.92,0,18.2,0,3,3.015,2.645
256,0,1974,0,0,12.6,-0.31,1,33.1,0,5,2.113,1.743
257,1,1982,0,1,18.6,1.64,1,55.6,1,1,1.049,0.429
258,1,1982,0,1,11.6,-0.77,0,15.1,1,3,1.876,1.256
259,1,1963,0,1,10.7,-0.37,0,27.4,0,4,2.523,1.903
260,1,1955,0,0,11.5,-0.64,1,36.1,1,4,2.881,2.261
261,0,1977,0,0,13.1,-0.49,0,37.2,0,1,2.005,1.635
262,1,1959,1,0,8.8,-0.69,0,17.6,1,2,3.183,2.563
263,1,1980,0,0,14.3,-0.02,1,42.6,0,1,1.752,1.132
264,0,1979,0,0,10.3,-0.91,1,31.7,0,1,2.186,1.816
265,1,1973,1,1,12.7,0.82,0,32.6,1,4,2.12,1.5
266,0,1975,0,1,11.3,-1.45,1,40.3,1,1,2.237,1.867
267,0,1968,0,1,14.6,-0.98,1,34.4,0,2,2.184,1.814
268,1,1985,0,0,11.5,1.39,0,34.3,0,4,1.556,0.936
269,1,1965,1,0,11.2,-0.24,0,23.6,0,1,2.752,2.132
270,1,1962,0,0,12.5,0.93,1,34.9,1,1,2.341,1.721
271,0,1975,0,0,13.1,-0.88,1,33.9,1,0,2.132,1.762
272,0,1956,0,1,14,0.74,0,29.7,0,3,2.374,2.004
273,0,1957,0,1,12.9,1.08,0,43.7,0,2,2.363,1.993
274,0,1961,0,1,11.7,-0.79,0,21.9,0,3,2.586,2.216
275,1,1974,0,0,11.2,-1.18,0,13.6,0,3,2.337,1.717
276,1,1964,0,1,12.5,-0.07,0,30,1,2,2.324,1.704
277,1,1975,0,0,10.4,0.26,0,21.2,1,7,2.14,1.52
278,1,1970,1,1,9.9,-1.92,0,10.9,0,4,2.819,2.199
279,1,1958,0,0,8.9,0.13,0,22.6,0,3,2.837,2.217
280,0,1972,0,1,11.8,0,1,29.2,0,2,2.087,1.717
281,1,1959,0,1,13.7,-0.05,1,25.5,0,3,2.41,1.79
282,1,1971,1,1,10.4,-0.86,0,29.8,1,3,2.593,1.973
283,1,1973,0,1,12.6,-0.75,1,35.9,0,1,2.112,1.492
284,1,1982,1,1,17.2,1.02,0,35.9,0,3,1.485,0.865
285,1,1981,0,0,13.6,-0.66,1,47.6,1,1,1.86,1.24
286,1,1975,0,1,12.8,0.52,1,32.6,1,1,1.841,1.221
287,0,1974,0,1,14,-0.52,1,43.5,1,0,1.95,1.58
288,0,1974,0,1,14.5,-0.42,0,35.5,1,3,1.903,1.533
289,1,1963,0,0,11.6,-0.59,0,30.7,0,1,2.595,1.975
290,1,1958,0,0,11.7,1.2,1,32.2,0,1,2.49,1.87
291,0,1969,1,0,10.6,0.32,0,23.1,1,3,2.571,2.201
292,1,1972,1,1,11.1,-0.15,1,45.7,1,2,2.406,1.786
293,1,1968,0,1,18.2,0.59,1,47.9,1,1,1.709,1.089
294,1,1965,0,1,13.3,-0.46,0,30.6,0,4,2.295,1.675
295,1,1972,0,0,9.3,-0.73,0,19.3,0,2,2.464,1.844
296,1,1957,0,1,11.6,-1.53,0,21,0,4,2.841,2.221
297,1,1985,1,1,13.5,-0.46,1,42.8,0,2,1.851,1.231
298,1,1981,0,0,13.3,1.44,0,43.9,0,2,1.566,0.946
299,0,1968,0,1,20.1,1.97,1,59.2,1,0,1.376,1.006
300,0,1968,0,1,12.8,-0.42,0,28.3,1,1,2.22,1.85
301,1,1980,0,1,15.5,0.41,1,43.4,0,1,1.508,0.888
302,1,1964,0,0,6.6,-1.28,0,14.1,1,2,2.998,2.378
303,1,1963,0,0,13.6,-1.04,0,33.1,0,2,2.53,1.91
304,0,1963,0,1,14.4,0.22,0,27,1,2,2.188,1.818
305,1,1982,0,1,11.1,-0.14,1,38.6,1,0,1.815,1.195
306,0,1976,1,1,20.1,0.32,1,45.3,0,1,1.601,1.231
307,1,1971,0,1,15,3.13,1,59,0,1,1.44,0.82
308,0,1980,1,1,11.5,-0.55,1,37.7,0,2,2.169,1.799
309,1,1957,0,0,11.4,0.66,1,45.3,1,2,2.625,2.005
310,1,1973,0,1,11,0.76,1,44.8,1,0,1.992,1.372
311,1,1972,0,0,9.8,-1.39,0,19,0,7,2.529,1.909
312,1,1961,0,0,14.3,-0.67,0,33.6,1,2,2.496,1.876
313,0,1973,0,0,10.2,-0.37,1,35.9,1,0,2.315,1.945
314,1,1970,0,0,9.2,1.4,1,41.4,0,0,2.218,1.598
315,0,1973,0,0,14.4,0.33,0,31.4,1,6,1.93,1.56
316,1,1955,1,1,15.1,0.19,1,31.4,0,1,2.667,2.047
317,0,1978,0,1,12.1,0.25,0,37.1,1,2,1.826,1.456
318,0,1981,0,0,9.2,-0.43,0,23,0,4,2.119,1.749
319,1,1958,0,0,13,0.85,1,47.3,1,2,2.456,1.836
320,1,1961,0,1,9.8,1.49,0,27.9,1,0,2.372,1.752
321,1,1959,0,0,10.4,0.64,0,32.1,1,2,2.627,2.007
322,0,1967,0,1,21.8,1.91,1,63.3,1,2,1.306,0.936
323,0,1959,0,1,13.8,2.05,1,50.6,0,3,2.088,1.718
324,1,1974,0,1,15.8,-0.33,1,37.7,1,0,1.804,1.184
325,0,1965,0,1,7.6,-1.81,0,11,0,2,2.877,2.507
326,1,1983,0,1,9.8,-1.06,0,21.7,0,1,2.006,1.386
327,1,1974,1,0,15.3,0.26,0,40.9,0,2,2.098,1.478
328,1,1973,0,1,16.2,0.2,1,37,1,3,1.73,1.11
329,0,1955,0,0,12.8,0.92,1,48.2,1,2,2.561,2.191
330,1,1976,1,0,12.6,-0.38,0,26.3,1,1,2.306,1.686
331,0,1962,0,1,9.2,-0.73,0,14.5,1,1,2.711,2.341
332,1,1982,1,1,13.2,-0.07,1,41.3,1,1,1.915,1.295
333,1,1963,0,1,10,-0.1,0,11.4,1,4,2.528,1.908
334,1,1955,0,0,8,-0.5,0,12.4,0,3,3.093,2.473
335,0,1980,0,1,7,-2.82,0,12.9,1,2,2.557,2.187
336,1,1956,0,0,8.1,-0.86,0,21,0,1,3.106,2.486
337,0,1958,1,1,7,0.16,0,28.4,1,0,3.109,2.739
338,1,1968,0,1,11.2,1.3,1,42.3,1,2,2.069,1.449
339,0,1960,0,0,15.7,-0.61,1,41,1,3,2.428,2.058
340,1,1969,0,1,10.2,-0.39,1,25.3,0,1,2.355,1.735
341,0,1968,0,1,6.4,-1.94,0,13.9,1,3,2.873,2.503
342,1,1984,0,0,11.9,-0.62,0,37.7,1,3,1.865,1.245
343,0,1962,1,0,8,2.1,1,44.3,0,2,2.715,2.345
344,0,1977,0,1,14.9,1.08,1,51.7,0,1,1.549,1.179
345,1,1977,0,1,16.9,2.4,1,53.2,0,1,1.219,0.599
346,0,1977,0,1,9.8,-0.24,0,31.5,1,2,2.087,1.717
347,0,1971,0,0,14.1,0.85,1,50.5,1,3,1.94,1.57
348,0,1985,0,1,18.8,1.56,1,49.8,1,0,0.946,0.576
349,1,1976,0,0,15.4,-1.07,0,28,0,0,1.973,1.353
350,0,1980,0,1,11.6,-0.75,1,35.6,0,0,1.941,1.571
351,1,1982,0,1,15.5,0.14,1,37.6,0,1,1.48,0.86
352,1,1982,0,1,13.7,0.55,1,46.9,1,1,1.538,0.918
353,0,1974,0,1,12,-0.01,1,48.3,1,3,2.007,1.637
354,0,1956,0,0,10.4,-0.75,0,23.4,1,3,2.937,2.567
355,1,1979,0,0,14.8,1.28,1,47.5,1,2,1.558,0.938
356,1,1969,0,1,10.3,-1.62,0,20.4,1,2,2.532,1.912
357,1,1965,1,1,13.3,0.33,0,32.3,0,3,2.426,1.806
358,0,1958,0,0,11.6,1.1,1,45.1,1,2,2.512,2.142
359,0,1977,0,1,14.2,-0.34,1,44.8,1,0,1.808,1.438
360,1,1970,0,1,14.4,1.25,1,50.3,1,0,1.794,1.174
361,0,1956,0,1,7.7,0.64,0,24,1,2,2.809,2.439
362,0,1962,0,1,10.9,-0.67,0,14.2,1,2,2.588,2.218
363,1,1973,0,1,9,0.01,1,41.2,1,2,2.238,1.618
364,0,1961,0,1,10.7,0.48,0,20,0,1,2.462,2.092
365,1,1956,0,1,15.2,-0.95,0,31.4,0,3,2.548,1.928
366,0,1965,0,1,13.5,0.27,0,26.4,0,1,2.171,1.801
367,1,1959,0,1,10.6,-0.22,0,27.4,0,2,2.642,2.022
368,1,1957,0,1,12.8,-0.36,0,21.4,1,4,2.585,1.965
369,1,1961,0,0,10.2,-1.05,0,15.7,0,3,2.825,2.205
370,1,1958,0,0,10.8,-1.57,0,10.3,0,1,2.965,2.345
371,1,1967,0,1,9,1.92,0,43.3,1,2,2.156,1.536
372,1,1976,0,0,12.1,0.31,0,28.2,0,1,1.985,1.365
373,1,1974,0,0,11.6,-0.04,0,21.3,1,4,2.139,1.519
374,0,1959,0,0,10.5,0.54,0,28.7,0,2,2.635,2.265
